MARKIT Ticker,Currency,Sen/Sub,Doc Clause,RED Code,IsDefaulted,Defaulted Recovery Rate,Phoenix Reference Entity ID,Name,Country,Moodys,S&P,Moodys Industries,S&P Industries,CreditIndex,Series,Version (hardcoded),Credit Index Mapping,Recovery,Quote Date,TRACS ID,Yr 1,Yr 2,Yr 3,Yr 4,Yr 5,Yr 6,Yr 7,Yr 8,Yr 9,Yr 10
NULL,USD,Senior,NULL,003CB6,TRUE,0.0325,10007,ABITIBI-CONSOLIDATED INC.,CA,Caa2,B-,Printing and Publishing,Forest Products,,,,s9.DJ CDX.NA.IG,0.39047619,10/11/2009,116,,,,,,,,,,
BOW,USD,Senior,NULL,1B239B,TRUE,0.15,10198,Bowater Incorporated,US,Caa2,B-,Printing and Publishing,Forest Products,,,,s9.DJ CDX.NA.IG,0.15,10/11/2009,29632,,,,,,,,,,
CEM,USD,Senior,NULL,179BHC,TRUE,0.15,10346,Chemtura Corporation,US,Ba2    *-,BB     *-,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.DJ CDX.NA.IG,0.175,10/11/2009,,,,,,,,,,,
NULL,USD,Senior,NULL,258D92,TRUE,0.75,10362,DANA CORPORATION,US,WR,D,Automobile,Automotive,,,,s9.DJ CDX.NA.IG,0.396666667,10/11/2009,2149,,,,,,,,,,
NULL,USD,Senior,NULL,2BD88Z,TRUE,0.275,10465,Equistar Chemicals_ LP,US,B1     *-,B+,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.DJ CDX.NA.IG,0.396428571,10/11/2009,44975,,,,,,,,,,
NULL,USD,Senior,NULL,3A7486,TRUE,0.125,10532,GENERAL MOTORS CORPORATION,US,Caa1   *-,B-,Automobile,Automotive,,,,s9.DJ CDX.NA.IG,0.3925,10/11/2009,2846,,,,,,,,,,
GLK,USD,Senior,NULL,3C95BE,TRUE,0.1825,10552,Great Lakes Chemical Corporation,US,Ba2    *-,BB+,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.DJ CDX.NA.IG,0.29,10/11/2009,85001,,,,,,,,,,
LEA,USD,Senior,NULL,5H39EB,TRUE,0.385,10698,Lear Corporation,US,B3,B+,Automobile,Automotive,,,,s9.DJ CDX.NA.IG,0.4,10/11/2009,432954,,,,,,,,,,
NULL,USD,Senior,NULL,UZA6AC,TRUE,0.155,10719,Lyondell Chemical Company,US,B1     *-,B+,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.DJ CDX.NA.IG,0.4,10/11/2009,78455,,,,,,,,,,
NULL,USD,Senior,NULL,8HF64B,TRUE,0.015,11123,Tribune Company,US,N.A.,B-,Printing and Publishing,Publishing,,,,s9.DJ CDX.NA.IG,0.39375,10/11/2009,171791,,,,,,,,,,
NULL,USD,Senior,NULL,26AF99,TRUE,0.63375,11678,Delphi Corporation,US,WR,WR,Automobile,Automotive,,,,s9.DJ CDX.NA.IG,0.392857143,10/11/2009,154586,,,,,,,,,,
FNMA,USD,Subordinated,NULL,3E48EV,TRUE,0.999,11754,Federal National Mortgage Association,US,Aaa,N.A.,Finance,Sovereign,,,,s9.DJ CDX.NA.IG,0.91508,10/11/2009,2577,,,,,,,,,,
NULL,USD,Senior,NULL,576D98,TRUE,0.08625,12022,Lehman Brothers Holdings Inc.,US,A2,A,Finance,Brokers_ Dealers & Investment Houses,,,,s9.DJ CDX.NA.IG,0.395454545,10/11/2009,3802,,,,,,,,,,
NULL,USD,Senior,NULL,7BCA23,TRUE,0.4125,12326,Quebecor World Inc.,CA,WR,D,Printing and Publishing,Publishing,,,,s9.DJ CDX.NA.IG,0.392857143,10/11/2009,5202,,,,,,,,,,
NULL,USD,Senior,NULL,9BABC3,TRUE,0.03,14156,Visteon Corporation,US,Caa1,B,Automobile,Automotive,,,,s9.DJ CDX.NA.IG,0.39375,10/11/2009,308684,,,,,,,,,,
SSCC-SSCE,USD,Senior,NULL,8B599A,TRUE,0.08875,28319,Smurfit-Stone Container Enterprises_ Inc.,US,B3,B+,Containers_ Packaging and Glass,Forest Products,,,,s9.DJ CDX.NA.IG,0.08875,10/11/2009,44528,,,,,,,,,,
LYO-America,USD,Senior,NULL,6G039T,TRUE,0.07125,28686,MILLENNIUM AMERICA INC.,US,B3,WR,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.DJ CDX.NA.IG,0.07125,10/11/2009,4113,,,,,,,,,,
GLTNR,EUR,Senior,NULL,XA37FV,TRUE,0.03,29184,Glitnir banki hf.,IS,A2,BBB+,Banking,Financial Intermediaries,,,,s9.iTraxx Europe,0.06062,10/11/2009,116346,,,,,,,,,,
DRRA-OpCo,USD,Senior,NULL,28C95S,TRUE,0.24125,29503,Dura Operating Corp.,US,WR,N.A.,Automobile,Automotive,,,,s9.DJ CDX.NA.IG,0.335,10/11/2009,77004,,,,,,,,,,
LANISL,EUR,Senior,NULL,X1BD7U,TRUE,0.0125,30211,Landsbanki Islands hf,IS,A2,N.A.,Banking,Financial Intermediaries,,,,s9.iTraxx Europe,0.01,10/11/2009,3761,,,,,,,,,,
